,date,tweets,retweets
734,2023-07-17,26,0
735,2023-07-18,27,3
736,2023-07-19,35,3
737,2023-07-20,29,1
738,2023-07-21,36,5
739,2023-07-22,20,5
740,2023-07-23,27,6
741,2023-07-24,37,1
742,2023-07-25,46,1
743,2023-07-26,41,5
744,2023-07-27,29,4
745,2023-07-28,17,5
746,2023-07-29,58,9
747,2023-07-30,46,3
748,2023-07-31,33,6
749,2023-08-01,23,5
750,2023-08-02,55,5
751,2023-08-03,34,0
752,2023-08-04,54,2
753,2023-08-05,8,0
754,2023-08-06,42,4
755,2023-08-07,28,3
756,2023-08-08,46,3
757,2023-08-09,39,3
758,2023-08-10,34,6
759,2023-08-11,39,3
760,2023-08-12,58,3
761,2023-08-13,32,7
762,2023-08-14,35,5
763,2023-08-15,27,3
764,2023-08-16,57,8
765,2023-08-17,52,7
766,2023-08-18,18,1
767,2023-08-19,30,2
768,2023-08-20,49,6
769,2023-08-21,22,2
770,2023-08-22,49,6
771,2023-08-23,27,4
772,2023-08-24,29,5
773,2023-08-25,58,2
774,2023-08-26,68,3
775,2023-08-27,44,5
776,2023-08-28,42,1
777,2023-08-29,49,6
778,2023-08-30,59,4
779,2023-08-31,39,0
780,2023-09-01,13,1
781,2023-09-02,40,5
782,2023-09-03,57,4
783,2023-09-04,25,2
784,2023-09-05,15,0
785,2023-09-06,15,0
786,2023-09-07,29,2
787,2023-09-08,3,1
788,2023-09-09,14,1
789,2023-09-10,24,1
790,2023-09-11,14,3
791,2023-09-12,10,1
792,2023-09-13,27,2
793,2023-09-14,18,1
794,2023-09-15,26,1
795,2023-09-16,18,1
796,2023-09-17,7,2
797,2023-09-18,16,1
798,2023-09-19,19,1
799,2023-09-20,18,0
800,2023-09-21,20,1
801,2023-09-22,14,1
802,2023-09-23,15,2
803,2023-09-24,23,0
804,2023-09-25,2,0
805,2023-09-26,14,2
806,2023-09-27,16,0
807,2023-09-28,17,3
808,2023-09-29,3,0
809,2023-09-30,39,3
810,2023-10-01,24,3
811,2023-10-02,21,2
812,2023-10-03,12,1
813,2023-10-04,21,4
814,2023-10-05,12,1
815,2023-10-06,27,7
816,2023-10-07,16,1
817,2023-10-08,12,2
818,2023-10-09,34,3
819,2023-10-10,38,4
820,2023-10-11,25,3
821,2023-10-12,25,8
822,2023-10-13,22,2
823,2023-10-14,14,4
824,2023-10-15,28,8
825,2023-10-16,21,7
826,2023-10-17,13,12
827,2023-10-18,18,5
828,2023-10-19,16,12
829,2023-10-20,15,13
830,2023-10-21,17,9
831,2023-10-22,23,8
832,2023-10-23,8,13
833,2023-10-24,29,29
834,2023-10-25,12,23
835,2023-10-26,12,21
836,2023-10-27,20,20
837,2023-10-28,23,47
838,2023-10-29,12,18
839,2023-10-30,17,24
840,2023-10-31,27,36
841,2023-11-01,8,18
842,2023-11-02,5,9
