targeting type,targeting value,date
os versions,ios 14.0 and above,2023-08-07 00:00:00
locations,turkey,2023-08-07 00:00:00
platforms,ios,2023-08-07 00:00:00
keywords,youtube,2023-08-07 00:00:00
keywords,cooking,2023-08-07 00:00:00
keywords,app,2023-08-07 00:00:00
keywords,recipes,2023-08-07 00:00:00
conversation topics,political news,2023-08-07 00:00:00
follower look-alikes,@pokemon,2023-08-07 00:00:00
follower look-alikes,@applemusic,2023-08-07 00:00:00
follower look-alikes,@disney,2023-08-07 00:00:00
conversation topics,business & finance,2023-08-07 00:00:00
locations,turkey,2023-08-07 00:00:00
follower look-alikes,@solana,2023-08-07 00:00:00
follower look-alikes,@apompliano,2023-08-07 00:00:00
follower look-alikes,@binance,2023-08-07 00:00:00
follower look-alikes,@nintendoamerica,2023-08-07 00:00:00
keywords,invest,2023-08-07 00:00:00
keywords,car,2023-08-07 00:00:00
keywords,credit,2023-08-07 00:00:00
conversation topics,political news,2023-08-07 00:00:00
keywords,credit,2023-08-07 00:00:00
keywords,invest,2023-08-07 00:00:00
keywords,money,2023-08-07 00:00:00
keywords,investing,2023-08-07 00:00:00
keywords,saving,2023-08-07 00:00:00
keywords,investing,2023-08-07 00:00:00
conversation topics,world news,2023-08-07 00:00:00
languages,english,2023-08-07 00:00:00
list,aiq_271882_0_1,2023-08-07 00:00:00
keywords,credit,2023-08-07 00:00:00
keywords,invest,2023-08-07 00:00:00
keywords,money,2023-08-07 00:00:00
keywords,investing,2023-08-07 00:00:00
keywords,saving,2023-08-07 00:00:00
keywords,money,2023-08-07 00:00:00
age,18 and up,2023-08-07 00:00:00
conversation topics,tech news,2023-08-07 00:00:00
locations,turkey,2023-08-07 00:00:00
conversation topics,business & finance,2023-08-07 00:00:00
keywords,investing,2023-08-07 00:00:00
conversation topics,business news,2023-08-07 00:00:00
keywords,saving,2023-08-07 00:00:00
keywords,investing,2023-08-07 00:00:00
age,13 and up,2023-08-07 00:00:00
follower look-alikes,@undp,2023-08-07 00:00:00
follower look-alikes,@intel,2023-08-07 00:00:00
follower look-alikes,@huawei,2023-08-07 00:00:00
platforms,ios,2023-08-07 00:00:00
locations,turkey,2023-08-07 00:00:00
list,aiq_271882_0_1,2023-08-07 00:00:00
age,18 and up,2023-08-07 00:00:00
locations,turkey,2023-08-07 00:00:00
languages,english,2023-08-07 00:00:00
languages,arabic,2023-08-07 00:00:00
interests,weather,2023-08-08 00:00:00
locations,turkey,2023-08-08 00:00:00
age,18 and up,2023-08-08 00:00:00
conversation topics,telecom,2023-08-08 00:00:00
conversation topics,huawei,2023-08-08 00:00:00
interests,space and astronomy,2023-08-08 00:00:00
interests,physics,2023-08-08 00:00:00
interests,geography,2023-08-08 00:00:00
list,exclude audience list,2023-08-08 00:00:00
interests,science news,2023-08-08 00:00:00
interests,animation,2023-08-08 00:00:00
list,exclude audience list20210218,2023-08-08 00:00:00
interests,music festivals and concerts,2023-08-08 00:00:00
follower look-alikes,@cnnpolitics,2023-08-08 00:00:00
conversation topics,huawei,2023-08-08 00:00:00
conversation topics,telecom,2023-08-08 00:00:00
interests,entertainment awards,2023-08-08 00:00:00
interests,technology,2023-08-08 00:00:00
interests,green solutions,2023-08-08 00:00:00
interests,government,2023-08-08 00:00:00
interests,tech news,2023-08-08 00:00:00
interests,tech news,2023-08-08 00:00:00
interests,science news,2023-08-08 00:00:00
interests,animation,2023-08-08 00:00:00
list,exclude audience list20210118,2023-08-08 00:00:00
interests,government,2023-08-08 00:00:00
interests,tech news,2023-08-08 00:00:00
interests,music festivals and concerts,2023-08-08 00:00:00
interests,weather,2023-08-08 00:00:00
follower look-alikes,@nhl,2023-08-08 00:00:00
follower look-alikes,@nflnetwork,2023-08-08 00:00:00
follower look-alikes,@mlb,2023-08-08 00:00:00
locations,turkey,2023-08-08 00:00:00
follower look-alikes,@solana,2023-08-08 00:00:00
languages,english,2023-08-08 00:00:00
locations,turkey,2023-08-08 00:00:00
follower look-alikes,@intel,2023-08-08 00:00:00
locations,turkey,2023-08-08 00:00:00
follower look-alikes,@vitalikbuterin,2023-08-08 00:00:00
interests,green solutions,2023-08-08 00:00:00
follower look-alikes,@solana,2023-08-08 00:00:00
follower look-alikes,@coinbase,2023-08-08 00:00:00
follower look-alikes,@coinmarketcap,2023-08-08 00:00:00
follower look-alikes,@ethereum,2023-08-08 00:00:00
locations,turkey,2023-08-08 00:00:00
age,18 and up,2023-08-08 00:00:00
list,exclude audience list,2023-08-08 00:00:00
list,exclude audience list20210218,2023-08-08 00:00:00
list,exclude audience list20210118,2023-08-08 00:00:00
follower look-alikes,@cnnpolitics,2023-08-08 00:00:00
interests,entertainment awards,2023-08-08 00:00:00
interests,technology,2023-08-08 00:00:00
follower look-alikes,@binance,2023-08-08 00:00:00
interests,geography,2023-08-08 00:00:00
follower look-alikes,@dogecoin,2023-08-08 00:00:00
interests,physics,2023-08-08 00:00:00
follower look-alikes,@fortnitegame,2023-08-08 00:00:00
keywords,game,2023-08-08 00:00:00
keywords,gaming,2023-08-08 00:00:00
keywords,games,2023-08-08 00:00:00
locations,turkey,2023-08-08 00:00:00
platforms,ios,2023-08-08 00:00:00
keywords,mining,2023-08-08 00:00:00
keywords,airdrop,2023-08-08 00:00:00
keywords,elon,2023-08-08 00:00:00
follower look-alikes,@vitalikbuterin,2023-08-08 00:00:00
follower look-alikes,@solana,2023-08-08 00:00:00
app activity,install evony ios all,2023-08-08 00:00:00
follower look-alikes,@okx,2023-08-08 00:00:00
follower look-alikes,@shibtoken,2023-08-08 00:00:00
follower look-alikes,@dogecoin,2023-08-08 00:00:00
follower look-alikes,@opensea,2023-08-08 00:00:00
follower look-alikes,@bitcoin,2023-08-08 00:00:00
follower look-alikes,@coinbase,2023-08-08 00:00:00
follower look-alikes,@cz_binance,2023-08-08 00:00:00
follower look-alikes,@coinmarketcap,2023-08-08 00:00:00
follower look-alikes,@ethereum,2023-08-08 00:00:00
follower look-alikes,@justinsuntron,2023-08-08 00:00:00
keywords,mining,2023-08-08 00:00:00
follower look-alikes,@skysportsnews,2023-08-08 00:00:00
follower look-alikes,@binance,2023-08-08 00:00:00
locations,turkey,2023-08-08 00:00:00
platforms,ios,2023-08-08 00:00:00
age,18 and up,2023-08-08 00:00:00
interests,education news and general info,2023-08-08 00:00:00
locations,turkey,2023-08-08 00:00:00
platforms,ios,2023-08-08 00:00:00
follower look-alikes,@vitalikbuterin,2023-08-08 00:00:00
follower look-alikes,@solana,2023-08-08 00:00:00
follower look-alikes,@okx,2023-08-08 00:00:00
follower look-alikes,@binance,2023-08-08 00:00:00
follower look-alikes,@shibtoken,2023-08-08 00:00:00
follower look-alikes,@opensea,2023-08-08 00:00:00
follower look-alikes,@bitcoin,2023-08-08 00:00:00
follower look-alikes,@coinbase,2023-08-08 00:00:00
follower look-alikes,@cz_binance,2023-08-08 00:00:00
follower look-alikes,@mclarenf1,2023-08-08 00:00:00
follower look-alikes,@coinmarketcap,2023-08-08 00:00:00
follower look-alikes,@mancity,2023-08-08 00:00:00
follower look-alikes,@elonmusk,2023-08-08 00:00:00
follower look-alikes,@justinsuntron,2023-08-08 00:00:00
keywords,airdrop,2023-08-08 00:00:00
keywords,mining,2023-08-08 00:00:00
keywords,elon,2023-08-08 00:00:00
keywords,betting,2023-08-08 00:00:00
keywords,bookies,2023-08-08 00:00:00
keywords,betting,2023-08-08 00:00:00
keywords,bets,2023-08-08 00:00:00
os versions,ios 10.0 and above,2023-08-08 00:00:00
interests,space and astronomy,2023-08-08 00:00:00
follower look-alikes,@nba,2023-08-08 00:00:00
interests,education news and general info,2023-08-08 00:00:00
follower look-alikes,@espnnba,2023-08-08 00:00:00
conversation topics,telecom,2023-08-08 00:00:00
conversation topics,huawei,2023-08-08 00:00:00
list,exclude audience list,2023-08-08 00:00:00
list,exclude audience list20210118,2023-08-08 00:00:00
list,exclude audience list20210218,2023-08-08 00:00:00
age,18 and up,2023-08-08 00:00:00
locations,turkey,2023-08-08 00:00:00
keywords,woman,2023-08-08 00:00:00
keywords,beauty,2023-08-08 00:00:00
keywords,women,2023-08-08 00:00:00
conversation topics,beauty,2023-08-08 00:00:00
conversation topics,face care,2023-08-08 00:00:00
conversation topics,hair care,2023-08-08 00:00:00
conversation topics,skin care,2023-08-08 00:00:00
locations,turkey,2023-08-08 00:00:00
age,18 to 54,2023-08-08 00:00:00
gender,women,2023-08-08 00:00:00
languages,english,2023-08-08 00:00:00
conversation topics,political news,2023-08-08 00:00:00
interests,books news and general info,2023-08-08 00:00:00
interests,romance,2023-08-08 00:00:00
interests,mystery and crime,2023-08-08 00:00:00
interests,"health, mind, and body",2023-08-08 00:00:00
interests,dads,2023-08-08 00:00:00
interests,arts and crafts,2023-08-08 00:00:00
interests,drawing and sketching,2023-08-08 00:00:00
interests,freelance writing,2023-08-08 00:00:00
interests,animation,2023-08-08 00:00:00
interests,comedy,2023-08-08 00:00:00
interests,painting,2023-08-08 00:00:00
interests,photography,2023-08-08 00:00:00
interests,foreign,2023-08-08 00:00:00
conversation topics,world news,2023-08-08 00:00:00
interests,sci-fi and fantasy,2023-08-08 00:00:00
interests,screenwriting,2023-08-08 00:00:00
interests,music,2023-08-08 00:00:00
interests,celebrity fan and gossip,2023-08-08 00:00:00
interests,sci-fi and fantasy,2023-08-08 00:00:00
interests,comedy,2023-08-08 00:00:00
interests,movie news and general info,2023-08-08 00:00:00
interests,design,2023-08-08 00:00:00
interests,biographies and memoirs,2023-08-08 00:00:00
interests,comics,2023-08-08 00:00:00
interests,independent,2023-08-08 00:00:00
conversation topics,tech news,2023-08-08 00:00:00
conversation topics,business news,2023-08-08 00:00:00
conversation topics,business & finance,2023-08-08 00:00:00
locations,turkey,2023-08-08 00:00:00
age,18 and up,2023-08-08 00:00:00
conversation topics,political news,2023-08-08 00:00:00
conversation topics,world news,2023-08-08 00:00:00
conversation topics,tech news,2023-08-08 00:00:00
conversation topics,business news,2023-08-08 00:00:00
conversation topics,business & finance,2023-08-08 00:00:00
keywords,investing,2023-08-08 00:00:00
keywords,saving,2023-08-08 00:00:00
languages,english,2023-08-08 00:00:00
keywords,investing,2023-08-08 00:00:00
keywords,invest,2023-08-08 00:00:00
keywords,credit,2023-08-08 00:00:00
list,aiq_271882_0_1,2023-08-08 00:00:00
locations,turkey,2023-08-08 00:00:00
age,18 and up,2023-08-08 00:00:00
languages,english,2023-08-08 00:00:00
keywords,mining,2023-08-08 00:00:00
locations,turkey,2023-08-08 00:00:00
age,18 to 54,2023-08-08 00:00:00
keywords,money,2023-08-08 00:00:00
interests,entertaining at home,2023-08-08 00:00:00
list,aiq_271882_0_1,2023-08-08 00:00:00
keywords,saving,2023-08-08 00:00:00
keywords,investing,2023-08-08 00:00:00
keywords,money,2023-08-08 00:00:00
keywords,invest,2023-08-08 00:00:00
keywords,credit,2023-08-08 00:00:00
keywords,investing,2023-08-08 00:00:00
keywords,saving,2023-08-08 00:00:00
list,aiq_271882_0_1,2023-08-08 00:00:00
age,18 and up,2023-08-08 00:00:00
languages,english,2023-08-08 00:00:00
keywords,invest,2023-08-08 00:00:00
locations,turkey,2023-08-08 00:00:00
conversation topics,world news,2023-08-08 00:00:00
conversation topics,tech news,2023-08-08 00:00:00
conversation topics,business news,2023-08-08 00:00:00
conversation topics,business & finance,2023-08-08 00:00:00
keywords,investing,2023-08-08 00:00:00
follower look-alikes,@wwe,2023-08-08 00:00:00
keywords,money,2023-08-08 00:00:00
keywords,credit,2023-08-08 00:00:00
keywords,investing,2023-08-08 00:00:00
conversation topics,political news,2023-08-08 00:00:00
interests,health news and general info,2023-08-08 00:00:00
keywords,humanity,2023-08-08 00:00:00
interests,politics,2023-08-08 00:00:00
follower look-alikes,@espn,2023-08-08 00:00:00
follower look-alikes,@nfl,2023-08-08 00:00:00
interests,commentary,2023-08-08 00:00:00
follower look-alikes,@barstoolsports,2023-08-08 00:00:00
keywords,uber,2023-08-08 00:00:00
keywords,amazon,2023-08-08 00:00:00
keywords,spotify,2023-08-08 00:00:00
keywords,all apple,2023-08-08 00:00:00
keywords,twitter,2023-08-08 00:00:00
follower look-alikes,@sportscenter,2023-08-08 00:00:00
keywords,elon musk,2023-08-08 00:00:00
keywords,apple,2023-08-08 00:00:00
conversation topics,tech news,2023-08-08 00:00:00
platforms,ios,2023-08-08 00:00:00
